x,y,x_pred,y_pred,t,l1_error
88.364456,57.784378,88.36445463021141,57.78438037254601,36.786658450411224,3.7423346057607887e-06
74.283936,54.40678,74.28393436794742,54.40678282680107,22.903769487813133,4.4588536454170935e-06
60.256474,46.311462,60.25647245564641,46.3114646749018,6.707972043786266,4.219255387738485e-06
82.13437,57.717567,82.13436979871081,57.7175673486435,31.357838762365184,5.499326931612813e-07
101.03639,67.84934,101.03638384107023,67.84935066759095,52.79335508486359,1.6826520720769622e-05
69.284134,48.406086,69.28413447391117,48.40608517916088,15.573468215977986,1.2947502909810282e-06
77.81013,57.588833,77.81012888857455,57.588834925047465,27.548569101537673,3.0364729113330213e-06
91.29688,63.03135,91.29688448422982,63.03134223307766,41.949696675053445,1.225115216385575e-05
107.66841,65.91405,107.66841086796343,65.9140484966416,57.56921024161688,2.37132184111033e-06
76.40689,56.871525,76.40689061963118,56.87152392676614,25.97467357594236,1.6928650410363844e-06
72.313515,51.168285,72.31351443193806,51.16828598391321,19.578088205194337,1.5519751457304665e-06
100.56871,68.07376,100.56871223498564,68.07375612888708,52.5005421217331,6.106098553004813e-06
85.40742,57.31956,85.40742000309426,57.31955999464059,33.99338064619118,8.453667987851077e-09
65.73637,47.454475,65.73637037207409,47.45447435554807,12.025208516656335,1.0165260277972266e-06
78.559,57.776672,78.55900040133456,57.776671304867385,28.2910291457108,1.0964671730562259e-06
102.01643,67.376236,102.01642730637172,67.37624066550612,53.40554304664672,7.359134386319965e-06
92.44081,67.234024,92.4408086428404,67.23402635067197,45.04170466597098,3.7078315671124074e-06
102.319664,67.23141,102.31966967146577,67.23140017672242,53.59573852481805,1.5494743351496254e-05
73.051186,52.32614,73.05118481931875,52.32614204500216,20.795857231361794,3.225683407492852e-06
70.23932,48.974834,70.23931795244819,48.97483754646765,16.685057550250974,5.59401946276239e-06
88.56056,57.891556,88.5605593142217,57.891557187804125,37.010078498667184,1.8735824127702472e-06
91.96877,65.819046,91.96877167767623,65.81904309417638,43.925417501778256,4.583499844557082e-06
86.83264,57.347816,86.83264027726756,57.34781551975797,35.241785697265954,7.575095892775607e-07
92.62934,67.65634,92.62934019734296,67.65633965819161,45.416134307096975,5.39151344014499e-07
104.750336,66.19454,104.750335393553,66.19454105039817,55.18232822345394,1.6568451712828391e-06
73.5264,53.136063,73.52640003236903,53.13606294393514,21.61236590848247,8.84338930973172e-08
93.27278,68.66579,93.27277945993404,68.66579093542269,46.478094431899,1.475488645041878e-06
71.30269,49.905098,71.3026895198831,49.90509883158778,18.07109485445397,1.311704671991265e-06
